Date,Item_Code,Item_Description,Supplier,Purchase_Order_No,Document_Number,Historical_Demand_Quantity (TON),Units_Sold/Used (TON),Current_Stock_Level (TON),Safety_Stock_Target (TON),Material_Type,Voltage_Level,Supplier_Country_Of_Origin,Price_Per_Unit (USD),Delivery_Lead_Time (Days),Payment_Terms,Market_Trends (Index),Number_Of_Alternative_Suppliers,Supplier_Performance_Score (1-10),Risk_Score (1-10)
1/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,Nordic Cables Supply,PO-2022-XLPE-3286,DOC-872246,53.37,47.32,143.28,43.88,XLPE,11KV,Sweden,3.68,25,Net 30,112.6,3,10,3.4
1/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,JapanSemi Advanced,PO-2022-XLPE-1488,DOC-198246,38.62,35.27,77.77,57.64,XLPE,33KV,Japan,3.94,41,Net 30,108.8,3,10,4.1
1/1/2022,XLPE-66KV-INS,XLPE Insulation 66KV,PolyTech Europe,PO-2022-XLPE-9928,DOC-539898,30.15,26.53,66.07,44.23,XLPE,66KV,Germany,3.37,39,Net 30,102.7,3,9,4.3
1/1/2022,PE-LV-JKT,PE Jacket Low Voltage,PolyTech Europe,PO-2022-PE-L-3615,DOC-832052,25.6,21.78,51.28,35.28,PE,LV,Germany,2.41,34,Net 45,102.2,2,9,4.9
1/1/2022,PE-MV-INS,PE Insulation Medium Voltage,PolyTech Europe,PO-2022-PE-M-2674,DOC-197251,17.97,17.33,41.69,26.45,PE,MV,Germany,2.6,32,Net 45,97.9,2,9,4.8
1/1/2022,PVC-LV-INS,PVC Insulation Low Voltage,PolyTech Europe,PO-2022-PVC--8527,DOC-662275,34.4,33.4,86.53,42.18,PVC,LV,Germany,2.21,35,Net 30,97.9,3,9,4.1
1/1/2022,PVC-LV-JKT,PVC Jacket Low Voltage,TurkCable Materials,PO-2022-PVC--6925,DOC-705397,30.26,27.05,63.95,33.28,PVC,LV,Turkey,2,26,Net 30,106.9,3,8,4
1/1/2022,LSF-LV-JKT,LSF Jacket Low Voltage,TurkCable Materials,PO-2022-LSF--2307,DOC-996865,14.1,13.62,35.88,12.3,LSF,LV,Turkey,2.86,20,Net 30,114.3,2,8,4.6
1/1/2022,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,MetalShield Corp,PO-2022-GSW--6977,DOC-270555,19.97,18.88,38.27,34.44,GSW,MV,South Korea,4.48,41,Net 45,98.9,2,9,5.2
1/1/2022,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,TurkCable Materials,PO-2022-GSW--2169,DOC-738720,16.33,16.17,26.14,20,GSW,HV,Turkey,3.75,30,Net 30,106,2,8,5
1/1/2022,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Corp,PO-2022-GST--4598,DOC-817870,19.33,17.53,42.89,29.41,GST,HV,South Korea,3.76,38,Net 45,103.5,1,9,5.8
1/1/2022,CU-SCR-11KV,Copper Screen Tape 11KV,MetalShield Corp,PO-2022-CU-S-6168,DOC-520651,10.23,8.74,20.34,17.99,Copper Screen,11KV,South Korea,8.19,35,Net 120,110.3,1,9,5.7
1/1/2022,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Corp,PO-2022-AL-S-9179,DOC-514850,10.34,9.28,21.88,18.55,Aluminum Screen,33KV,South Korea,5.64,44,Annual Contract,103.1,2,9,5.3
1/1/2022,MICA-TAPE-HV,Mica Tape High Voltage,IndiaScreen Tech,PO-2022-MICA-9830,DOC-375504,7.46,7.17,17.43,17.05,Mica Tape,HV,India,6.49,49,Net 45,109.7,2,7,6.1
1/1/2022,WB-TAPE-MV,Water Blocking Tape MV,USATape Solutions,PO-2022-WB-T-3266,DOC-634277,22.77,22.76,51.29,40.2,Water Blocking Tape,MV,USA,2.57,43,Net 45,109.9,2,8,5.5
1/1/2022,SEMI-11KV-LAY,Semiconductor Layer 11KV,Nordic Cables Supply,PO-2022-SEMI-3621,DOC-930555,30.12,26.29,83.78,28.23,Semiconductor,11KV,Sweden,6.84,25,Net 60,99,2,10,4.2
1/1/2022,SEMI-33KV-LAY,Semiconductor Layer 33KV,Nordic Cables Supply,PO-2022-SEMI-8668,DOC-654816,29.32,27.54,84.15,25.17,Semiconductor,33KV,Sweden,7.46,26,Net 45,110,2,10,4.2
2/1/2022,XLPE-11KV-INS,XLPE Insulation 11KV,JapanSemi Advanced,PO-2022-XLPE-9797,DOC-887352,50.89,44.13,123.2,58.66,XLPE,11KV,Japan,3.6,33,Net 45,116.4,3,10,3.7
2/1/2022,XLPE-33KV-INS,XLPE Insulation 33KV,JapanSemi Advanced,PO-2022-XLPE-8433,DOC-103402,38.01,34.79,99.1,52.98,XLPE,33KV,Japan,2.77,38,Net 60,112.8,3,10,3.9
