Date,Item_Code,Item_Description,Supplier,Purchase_Order_No,Document_Number,Historical_Demand_Quantity (TON),Units_Sold/Used (TON),Current_Stock_Level (TON),Safety_Stock_Target (TON),Material_Type,Voltage_Level,Supplier_Country_Of_Origin,Price_Per_Unit (USD),Delivery_Lead_Time (Days),Payment_Terms,Market_Trends (Index),Number_Of_Alternative_Suppliers,Supplier_Performance_Score (1-10),Risk_Score (1-10)
2019-01-01,XLPE-0.6KV-INS,XLPE Insulation 0.6KV,Tokyo Polymer Industries,PO-2019-XLPE-3286,DOC-872246,63.69,54.85,193.29,68.25,XLPE,0.6KV,Japan,3.68,35,Net 30,112.6,7,9,2.5
2019-01-01,XLPE-11KV-INS,XLPE Insulation 11KV,Tokyo Polymer Industries,PO-2019-XLPE-1488,DOC-198246,50.55,45.77,103.15,73.53,XLPE,11KV,Japan,3.94,43,Net 30,108.8,7,9,2.8
2019-01-01,XLPE-22KV-INS,XLPE Insulation 22KV,Nordic Polymers AB,PO-2019-XLPE-9928,DOC-539898,41.45,35.22,92.81,47.8,XLPE,22KV,Sweden,3.37,34,Net 30,102.7,7,10,2.2
2019-01-01,XLPE-33KV-INS,XLPE Insulation 33KV,JapanSemi Advanced Materials,PO-2019-XLPE-3615,DOC-832052,41.63,33.37,87.72,48.13,XLPE,33KV,Japan,3.02,37,Net 45,102.2,7,10,2.3
2019-01-01,XLPE-66KV-INS,XLPE Insulation 66KV,Shanghai Cable Materials,PO-2019-XLPE-2674,DOC-197251,28.43,28.17,69.78,41.86,XLPE,66KV,China,3.25,39,Net 45,97.9,7,8,3.0
2019-01-01,XLPE-132KV-INS,XLPE Insulation 132KV,PolyTech Europe GmbH,PO-2019-XLPE-8527,DOC-662275,29.9,29.95,83.35,28.88,XLPE,132KV,Germany,3.52,35,Net 30,97.9,7,9,2.5
2019-01-01,PE-LV-JKT,PE Jacket Low Voltage,FrenchPoly Solutions,PO-2019-PE-L-6925,DOC-705397,23.37,20.41,50.49,34.2,PE,LV,France,2.54,36,Net 30,106.9,7,8,2.8
2019-01-01,PE-MV-INS,PE Insulation Medium Voltage,Tokyo Polymer Industries,PO-2019-PE-M-2307,DOC-996865,18.56,18.44,52.61,26.25,PE,MV,Japan,2.67,35,Net 30,114.3,7,9,2.5
2019-01-01,PE-HV-JKT,PE Jacket High Voltage,FrenchPoly Solutions,PO-2019-PE-H-6977,DOC-270555,17.97,17.23,35.16,24.62,PE,HV,France,2.98,36,Net 45,98.9,7,8,2.8
2019-01-01,PE-FOAM-LV,Foam PE Low Voltage,ChinaPoly Industries,PO-2019-PE-F-2169,DOC-738720,16.4,16.96,25.48,31.6,PE,LV,China,2.5,50,Net 30,106.0,7,7,3.7
2019-01-01,PVC-LV-INS-A,PVC Insulation LV Grade A,TurkCable Materials Ltd,PO-2019-PVC--4598,DOC-817870,32.66,29.23,75.59,25.64,PVC,LV,Turkey,2.18,23,Net 45,103.5,6,8,2.3
2019-01-01,PVC-LV-INS-B,PVC Insulation LV Grade B,ItalCavi Materials SpA,PO-2019-PVC--6168,DOC-520651,23.03,18.61,46.98,29.01,PVC,LV,Italy,2.12,28,Net 45,110.3,6,9,2.2
2019-01-01,PVC-LV-JKT,PVC Jacket Low Voltage,PolyTech Europe GmbH,PO-2019-PVC--9179,DOC-514850,33.32,29.28,75.39,47.22,PVC,LV,Germany,2.26,39,Net 60,103.1,6,9,2.7
2019-01-01,PVC-MV-INS,PVC Insulation Medium Voltage,Shanghai Cable Materials,PO-2019-PVC--9830,DOC-375504,23.89,23.56,58.6,41.04,PVC,MV,China,2.38,41,Net 45,109.7,6,8,3.1
2019-01-01,LSF-LV-JKT,LSF Jacket Low Voltage,FrenchPoly Solutions,PO-2019-LSF--3266,DOC-634277,13.49,14.16,32.4,20.52,LSF,LV,France,3.08,36,Net 45,109.9,5,8,2.8
2019-01-01,LSF-MV-JKT,LSF Jacket Medium Voltage,ChinaPoly Industries,PO-2019-LSF--3621,DOC-930555,11.31,9.48,35.98,18.64,LSF,MV,China,2.73,40,Net 45,99.0,5,7,3.3
2019-01-01,LSF-HV-JKT,LSF Jacket High Voltage,ItalCavi Materials SpA,PO-2019-LSF--9669,DOC-363626,10.98,11.52,35.14,12.75,LSF,HV,Italy,2.98,34,Net 60,110.0,5,9,2.5
2019-01-01,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,Seoul Metal Works,PO-2019-GSW--9797,DOC-887352,20.87,17.29,55.72,26.4,GSW,MV,South Korea,4.32,33,Net 45,112.7,3,9,4.0
2019-01-01,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,Seoul Metal Works,PO-2019-GSW--8433,DOC-103402,15.93,14.48,44.25,24.52,GSW,HV,South Korea,3.32,38,Net 60,109.1,3,9,4.2
2019-01-01,GSW-EHV-SHLD,Galvanized Steel Wire Shield EHV,Seoul Metal Works,PO-2019-GSW--9317,DOC-211579,14.15,14.02,46.29,20.89,GSW,EHV,South Korea,4.23,37,Net 60,95.1,3,9,4.2
2019-01-01,GST-MV-TAPE,Galvanized Steel Tape MV,MetalShield Korea,PO-2019-GST--7126,DOC-899550,18.5,15.72,54.37,37.19,GST,MV,South Korea,4.25,45,Net 30,102.4,1,9,6.1
2019-01-01,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Korea,PO-2019-GST--9005,DOC-120422,16.25,15.43,49.93,33.54,GST,HV,South Korea,4.08,43,Net 30,106.6,1,9,6.0
2019-01-01,CU-SCR-11KV,Copper Screen Tape 11KV,Seoul Metal Works,PO-2019-CU-S-2290,DOC-189814,11.24,9.67,28.97,18.5,Copper Screen,11KV,South Korea,8.57,37,Annual Contract,109.8,2,9,5.0
2019-01-01,CU-SCR-33KV,Copper Screen Tape 33KV,MetalShield Korea,PO-2019-CU-S-3060,DOC-234628,9.16,8.55,29.88,14.94,Copper Screen,33KV,South Korea,8.23,36,Annual Contract,97.7,2,9,4.9
2019-01-01,CU-SCR-66KV,Copper Screen Tape 66KV,MetalShield Korea,PO-2019-CU-S-7932,DOC-322086,8.28,7.72,19.49,14.45,Copper Screen,66KV,South Korea,8.5,43,Annual Contract,103.8,2,9,5.2
2019-01-01,AL-SCR-11KV,Aluminum Screen Tape 11KV,IndiaScreen Technologies,PO-2019-AL-S-7118,DOC-559381,9.13,8.21,25.9,22.26,Aluminum Screen,11KV,India,5.35,48,Net 120,101.0,3,7,5.3
2019-01-01,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Korea,PO-2019-AL-S-4770,DOC-717024,9.81,7.9,22.06,15.33,Aluminum Screen,33KV,South Korea,6.33,38,Net 90,105.9,3,9,4.2
2019-01-01,AL-SCR-66KV,Aluminum Screen Tape 66KV,MetalShield Korea,PO-2019-AL-S-1514,DOC-446479,7.22,5.9,14.88,12.86,Aluminum Screen,66KV,South Korea,4.66,45,Net 90,104.9,3,9,4.5
2019-01-01,MICA-TAPE-MV,Mica Tape Medium Voltage,Mumbai Cable Supplies,PO-2019-MICA-3167,DOC-858490,9.07,7.74,39.32,19.66,Mica Tape,MV,India,5.91,51,Net 45,106.5,3,6,5.7
2019-01-01,MICA-TAPE-HV,Mica Tape High Voltage,IndiaScreen Technologies,PO-2019-MICA-2588,DOC-790993,7.97,6.76,20.21,17.61,Mica Tape,HV,India,6.55,52,Net 45,108.8,3,7,5.4
2019-01-01,MICA-TAPE-EHV,Mica Tape Extra High Voltage,Mumbai Cable Supplies,PO-2019-MICA-2612,DOC-163556,6.57,6.45,14.84,13.67,Mica Tape,EHV,India,6.67,53,Net 45,98.0,3,6,5.8
2019-01-01,WB-TAPE-LV,Water Blocking Tape LV,IndiaScreen Technologies,PO-2019-WB-T-8350,DOC-246991,29.69,25.16,98.23,44.9,Water Blocking Tape,LV,India,2.3,46,Net 45,102.2,4,7,4.4
2019-01-01,WB-TAPE-MV,Water Blocking Tape MV,Shanghai Cable Materials,PO-2019-WB-T-8260,DOC-947272,25.73,26.52,55.56,38.72,Water Blocking Tape,MV,China,2.19,44,Net 30,105.3,4,8,4.0
2019-01-01,WB-TAPE-HV,Water Blocking Tape HV,Shanghai Cable Materials,PO-2019-WB-T-4872,DOC-274389,18.15,18.92,64.1,32.4,Water Blocking Tape,HV,China,2.32,45,Net 45,112.7,4,8,4.0
2019-01-01,SEMI-11KV-LAY,Semiconductor Layer 11KV,JapanSemi Advanced Materials,PO-2019-SEMI-3697,DOC-497382,29.32,30.07,91.06,39.98,Semiconductor,11KV,Japan,7.99,36,Net 30,98.8,3,10,3.8
2019-01-01,SEMI-22KV-LAY,Semiconductor Layer 22KV,Tokyo Polymer Industries,PO-2019-SEMI-5673,DOC-543555,30.87,30.76,129.26,41.07,Semiconductor,22KV,Japan,6.54,39,Net 60,105.9,3,9,4.3
2019-01-01,SEMI-33KV-LAY,Semiconductor Layer 33KV,Tokyo Polymer Industries,PO-2019-SEMI-4111,DOC-411120,28.61,26.37,97.67,41.97,Semiconductor,33KV,Japan,6.76,43,Net 30,98.4,3,9,4.4
2019-01-01,SEMI-66KV-LAY,Semiconductor Layer 66KV,Tokyo Polymer Industries,PO-2019-SEMI-6138,DOC-159942,24.57,20.03,80.33,35.93,Semiconductor,66KV,Japan,7.65,44,Net 30,106.7,3,9,4.5
2019-02-01,XLPE-0.6KV-INS,XLPE Insulation 0.6KV,JapanSemi Advanced Materials,PO-2019-XLPE-1931,DOC-632496,52.92,49.36,186.3,79.95,XLPE,0.6KV,Japan,3.58,41,Net 30,105.1,7,10,2.5
2019-02-01,XLPE-11KV-INS,XLPE Insulation 11KV,ItalCavi Materials SpA,PO-2019-XLPE-4853,DOC-523389,60.95,59.05,191.34,48.28,XLPE,11KV,Italy,3.17,29,Net 30,111.9,7,9,2.2
2019-02-01,XLPE-22KV-INS,XLPE Insulation 22KV,FrenchPoly Solutions,PO-2019-XLPE-2343,DOC-539589,37.11,35.2,100.38,56.81,XLPE,22KV,France,3.82,39,Net 45,104.6,7,8,3.0
2019-02-01,XLPE-33KV-INS,XLPE Insulation 33KV,FrenchPoly Solutions,PO-2019-XLPE-5351,DOC-515011,43.15,37.91,139.28,43.7,XLPE,33KV,France,3.73,33,Net 30,118.1,7,8,2.7
2019-02-01,XLPE-66KV-INS,XLPE Insulation 66KV,Tokyo Polymer Industries,PO-2019-XLPE-2188,DOC-109767,30.01,30.98,69.67,41.31,XLPE,66KV,Japan,3.25,39,Net 45,104.6,7,9,2.7
2019-02-01,XLPE-132KV-INS,XLPE Insulation 132KV,Tokyo Polymer Industries,PO-2019-XLPE-4492,DOC-630458,24.05,19.68,89.19,36.95,XLPE,132KV,Japan,3.58,44,Net 45,112.8,7,9,2.9
2019-02-01,PE-LV-JKT,PE Jacket Low Voltage,PolyTech Europe GmbH,PO-2019-PE-L-7054,DOC-398830,25.24,25.74,105.76,32.81,PE,LV,Germany,2.74,35,Net 30,122.3,7,9,2.5
2019-02-01,PE-MV-INS,PE Insulation Medium Voltage,ChinaPoly Industries,PO-2019-PE-M-9666,DOC-108203,21.66,20.64,55.97,37.92,PE,MV,China,2.56,48,Net 45,111.1,7,7,3.7
2019-02-01,PE-HV-JKT,PE Jacket High Voltage,FrenchPoly Solutions,PO-2019-PE-H-2891,DOC-212235,17.67,14.73,67.97,21.02,PE,HV,France,2.91,31,Net 30,108.3,7,8,2.6
2019-02-01,PE-FOAM-LV,Foam PE Low Voltage,Nordic Polymers AB,PO-2019-PE-F-5325,DOC-629959,14.51,12.85,24.44,20.13,PE,LV,Sweden,2.7,34,Net 45,112.9,7,10,2.2
2019-02-01,PVC-LV-INS-A,PVC Insulation LV Grade A,ChinaPoly Industries,PO-2019-PVC--5533,DOC-146228,30.97,28.06,51.38,46.6,PVC,LV,China,2.23,40,Net 30,110.6,6,7,3.3
2019-02-01,PVC-LV-INS-B,PVC Insulation LV Grade B,ChinaPoly Industries,PO-2019-PVC--8239,DOC-678478,25.17,21.78,76.45,45.86,PVC,LV,China,2.21,42,Net 45,102.9,6,7,3.4
2019-02-01,PVC-LV-JKT,PVC Jacket Low Voltage,TurkCable Materials Ltd,PO-2019-PVC--3442,DOC-672092,33.56,34.26,78.07,24.86,PVC,LV,Turkey,2.39,21,Net 30,113.9,6,8,2.2
2019-02-01,PVC-MV-INS,PVC Insulation Medium Voltage,ItalCavi Materials SpA,PO-2019-PVC--1685,DOC-423232,21.86,19.84,51.4,36.24,PVC,MV,Italy,2.29,37,Net 45,111.2,6,9,2.6
2019-02-01,LSF-LV-JKT,LSF Jacket Low Voltage,FrenchPoly Solutions,PO-2019-LSF--5088,DOC-799330,16.08,13.71,91.18,16.95,LSF,LV,France,3.14,30,Net 30,114.3,5,8,2.6
2019-02-01,LSF-MV-JKT,LSF Jacket Medium Voltage,TurkCable Materials Ltd,PO-2019-LSF--3532,DOC-348237,13.51,12.18,50.21,12.6,LSF,MV,Turkey,2.92,28,Net 30,112.5,5,8,2.5
2019-02-01,LSF-HV-JKT,LSF Jacket High Voltage,FrenchPoly Solutions,PO-2019-LSF--6442,DOC-920391,9.17,7.39,29.17,12.11,LSF,HV,France,2.88,32,Net 45,109.1,5,8,2.7
2019-02-01,GSW-MV-SHLD,Galvanized Steel Wire Shield MV,Seoul Metal Works,PO-2019-GSW--2771,DOC-501124,25.76,25.68,41.05,28.92,GSW,MV,South Korea,4.43,36,Net 30,100.6,3,9,4.1
2019-02-01,GSW-HV-SHLD,Galvanized Steel Wire Shield HV,Seoul Metal Works,PO-2019-GSW--6728,DOC-420015,15.2,15.65,41.8,23.14,GSW,HV,South Korea,4.22,36,Net 30,103.3,3,9,4.1
2019-02-01,GSW-EHV-SHLD,Galvanized Steel Wire Shield EHV,TurkCable Materials Ltd,PO-2019-GSW--2137,DOC-910891,12.91,11.39,33.18,16.94,GSW,EHV,Turkey,3.95,30,Net 45,109.7,3,8,4.2
2019-02-01,GST-MV-TAPE,Galvanized Steel Tape MV,MetalShield Korea,PO-2019-GST--9785,DOC-447235,19.26,20.13,44.19,35.4,GST,MV,South Korea,4.45,43,Net 30,111.8,1,9,6.0
2019-02-01,GST-HV-TAPE,Galvanized Steel Tape HV,MetalShield Korea,PO-2019-GST--5349,DOC-140115,13.74,14.3,32.21,30.3,GST,HV,South Korea,3.6,39,Net 30,112.9,1,9,5.9
2019-02-01,CU-SCR-11KV,Copper Screen Tape 11KV,Seoul Metal Works,PO-2019-CU-S-9379,DOC-221263,10.94,9.61,33.14,19.0,Copper Screen,11KV,South Korea,8.84,38,Net 120,113.0,2,9,5.0
2019-02-01,CU-SCR-33KV,Copper Screen Tape 33KV,Seoul Metal Works,PO-2019-CU-S-1027,DOC-645175,8.61,8.41,19.27,14.94,Copper Screen,33KV,South Korea,8.18,36,Annual Contract,105.4,2,9,4.9
2019-02-01,CU-SCR-66KV,Copper Screen Tape 66KV,Seoul Metal Works,PO-2019-CU-S-6409,DOC-753425,9.75,8.85,24.01,14.45,Copper Screen,66KV,South Korea,7.64,43,Net 120,113.2,2,9,5.2
2019-02-01,AL-SCR-11KV,Aluminum Screen Tape 11KV,Seoul Metal Works,PO-2019-AL-S-6067,DOC-799287,13.9,12.16,50.76,15.02,Aluminum Screen,11KV,South Korea,4.83,34,Net 120,106.2,3,9,4.1
2019-02-01,AL-SCR-33KV,Aluminum Screen Tape 33KV,MetalShield Korea,PO-2019-AL-S-7211,DOC-810219,11.59,9.83,28.64,15.8,Aluminum Screen,33KV,South Korea,5.7,39,Annual Contract,112.5,3,9,4.3
2019-02-01,AL-SCR-66KV,Aluminum Screen Tape 66KV,IndiaScreen Technologies,PO-2019-AL-S-1006,DOC-418635,6.26,5.64,17.67,16.06,Aluminum Screen,66KV,India,4.07,54,Net 120,103.5,3,7,5.5
2019-02-01,MICA-TAPE-MV,Mica Tape Medium Voltage,IndiaScreen Technologies,PO-2019-MICA-8238,DOC-563638,8.78,7.73,19.81,20.65,Mica Tape,MV,India,6.78,54,Net 30,101.5,3,7,5.5
2019-02-01,MICA-TAPE-HV,Mica Tape High Voltage,Mumbai Cable Supplies,PO-2019-MICA-6491,DOC-197923,7.62,6.64,23.31,16.73,Mica Tape,HV,India,6.69,49,Net 30,101.5,3,6,5.6
